date,inflation_trimmed,inflation_sectoral,inflation_core_avg
2000-03-31,,1.685,
2000-06-30,,1.725,
2000-09-30,,2.148,
2000-12-31,,2.46,
2001-03-31,,2.5207,
2001-06-30,,2.5485,
2001-09-30,,2.464,
2001-12-31,,2.358,
2002-03-31,,2.5406,
2002-06-30,,2.6763,
2002-09-30,,2.5311,
2002-12-31,,2.5302,
2003-03-31,,2.4161,
2003-06-30,,2.2698,
2003-09-30,,2.4172,
2003-12-31,,2.5822,
2004-03-31,,2.6663,
2004-06-30,,2.8806,
2004-09-30,,2.9254,
2004-12-31,,2.9071,
2005-03-31,2.879042994,2.9538,
2005-06-30,2.909045208,2.8647,
2005-09-30,2.946214103,2.9939,
2005-12-31,2.88516757,2.8933,
2006-03-31,2.881516102,2.9322,
2006-06-30,2.917053005,2.964,
2006-09-30,3.080392625,3.0984,
2006-12-31,3.235072604,3.1246,
2007-03-31,3.354053137,3.3094,
2007-06-30,3.409181854,3.3509,
2007-09-30,3.362949926,3.2692,
2007-12-31,3.319390373,3.3411,
2008-03-31,3.253385694,3.2725,3.0
2008-06-30,3.24234994,3.4089,3.1
2008-09-30,3.15842589,3.3871,3.4
2008-12-31,3.010341326,3.175,3.1
2009-03-31,2.793132262,2.8048,3.0
2009-06-30,2.516333637,2.3037,2.8
2009-09-30,2.271248063,2.0538,2.7
2009-12-31,1.993190743,1.7957,2.3
2010-03-31,1.818722103,1.7667,2.0
2010-06-30,1.711448449,1.7884,1.7
2010-09-30,1.68412517,1.8118,1.6
2010-12-31,1.741771553,2.0708,1.6
2011-03-31,1.763298061,2.2593,1.7
2011-06-30,1.719677928,2.2335,2.1
2011-09-30,1.630362145,2.107,1.8
2011-12-31,1.528460287,1.8951,1.7
2012-03-31,1.9,1.4,1.7
2012-06-30,1.5,1.3,1.4
2012-09-30,1.6,1.1,1.3
2012-12-31,1.3,1.1,1.2
2013-03-31,1.2,1.1,1.2
2013-06-30,1,1.1,1.1
2013-09-30,1.6,1.1,1.4
2013-12-31,1.7,1.1,1.6
2014-03-31,1.6,1.1,1.5
2014-06-30,2,1.0,1.6
2014-09-30,1.3,1.0,1.3
2014-12-31,0.9,1.0,1.1
2015-03-31,1,1.0,1.1
2015-06-30,0.8,1.2,1.1
2015-09-30,1,1.3,1.1
2015-12-31,0.8,1.4,1.1
2016-03-31,1.1,1.5,1.3
2016-06-30,1.2,1.5,1.3
2016-09-30,1.3,1.5,1.4
2016-12-31,1.7,1.6,1.7
2017-03-31,2.1,1.5,1.9
2017-06-30,1.9,1.4,1.7
2017-09-30,2.1,1.5,1.8
2017-12-31,1.8,1.5,1.6
2018-03-31,1.7,1.5,1.6
2018-06-30,1.8,1.7,1.8
2018-09-30,1.8,1.7,1.8
2018-12-31,2,1.8,1.9
2019-03-31,1.9,1.8,1.9
2019-06-30,2.1,1.9,2.0
2019-09-30,1.8,2.0,1.9
2019-12-31,2.1,2.1,2.1
2020-03-31,2.7,2.1,2.4
2020-06-30,2.1,2.0,2.1
2020-09-30,1.7,2.0,1.9
2020-12-31,2.1,2.2,2.2
2021-03-31,1.7,2.4,2.1
2021-06-30,3,2.9,3.0
2021-09-30,4,3.5,3.9
2021-12-31,4.3,3.9,4.4
2022-03-31,5.2,4.5,5.0
2022-06-30,5.8,4.9,5.5
2022-09-30,6.4,5.4,5.8
2022-12-31,6.1,5.7,6.0
2023-03-31,6.1,5.8,6.0
2023-06-30,6,5.8,6.0
2023-09-30,5.5,5.3,5.2
2023-12-31,5,4.7,4.5
2024-03-31,4.5,4.2,4.2
2024-06-30,3.8,3.5,3.4
2024-09-30,2.7,3.2,2.9
2024-12-31,2.5,3.0,2.7
2025-03-31,2.2,2.9,2.5
2025-06-30,2.4,2.7,2.5
2025-09-30,2.2,2.7,2.4
2025-12-31,2.5,2.8,2.4
2026-03-31,,,
