date,r_star
2000-03-31,3.6
2000-06-30,3.6
2000-09-30,3.6
2000-12-31,3.5
2001-03-31,3.5
2001-06-30,3.5
2001-09-30,3.5
2001-12-31,3.4
2002-03-31,3.4
2002-06-30,3.4
2002-09-30,3.3
2002-12-31,3.3
2003-03-31,3.2
2003-06-30,3.2
2003-09-30,3.2
2003-12-31,3.1
2004-03-31,3.1
2004-06-30,3.1
2004-09-30,3.1
2004-12-31,3
2005-03-31,3
2005-06-30,3
2005-09-30,3
2005-12-31,2.9
2006-03-31,2.9
2006-06-30,2.9
2006-09-30,2.9
2006-12-31,2.8
2007-03-31,2.8
2007-06-30,2.8
2007-09-30,2.7
2007-12-31,2.7
2008-03-31,2.6
2008-06-30,2.6
2008-09-30,2.5
2008-12-31,2.5
2009-03-31,2.4
2009-06-30,2.4
2009-09-30,2.3
2009-12-31,2.3
2010-03-31,2.2
2010-06-30,2.2
2010-09-30,2.1
2010-12-31,2.1
2011-03-31,2
2011-06-30,2
2011-09-30,1.9
2011-12-31,1.9
2012-03-31,3.8
2012-06-30,3.7
2012-09-30,3.6
2012-12-31,3.6
2013-03-31,3.6
2013-06-30,3.5
2013-09-30,3.5
2013-12-31,3.4
2014-03-31,3.4
2014-06-30,3.4
2014-09-30,3.3
2014-12-31,3.3
2015-03-31,3.2
2015-06-30,3.2
2015-09-30,3.1
2015-12-31,3
2016-03-31,3
2016-06-30,2.9
2016-09-30,2.9
2016-12-31,2.8
2017-03-31,2.8
2017-06-30,2.7
2017-09-30,2.7
2017-12-31,2.7
2018-03-31,2.6
2018-06-30,2.6
2018-09-30,2.5
2018-12-31,2.5
2019-03-31,2.5
2019-06-30,2.4
2019-09-30,2.4
2019-12-31,2.4
2020-03-31,2.4
2020-06-30,2.4
2020-09-30,2.4
2020-12-31,2.4
2021-03-31,2.4
2021-06-30,2.5
2021-09-30,2.5
2021-12-31,2.6
2022-03-31,2.6
2022-06-30,2.7
2022-09-30,2.8
2022-12-31,2.8
2023-03-31,2.9
2023-06-30,2.9
2023-09-30,3
2023-12-31,3
2024-03-31,3
2024-06-30,3
2024-09-30,3
2024-12-31,3
2025-03-31,3.1
2025-06-30,3.1
2025-09-30,3.1
2025-12-31,3.1
2026-03-31,3.1
